;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
12-1-2022 09:00;0.000817548;0.001;0.001;200;90;0.25;;
12-1-2022 10:00;0.000826807;0.001;0.001;200;90;0.25;;
12-1-2022 11:00;0.000840713;0.001;0.001;200;90;0.25;;
12-1-2022 12:00;0.000843228;0.001;0.001;200;90;0.25;;
12-1-2022 13:00;0.000820619;0.001;0.001;200;90;0.25;;
12-1-2022 14:00;0.000809301;0.001;0.001;200;90;0.25;;
12-1-2022 15:00;0.000828774;0.001;0.001;200;90;0.25;;
12-1-2022 16:00;0.000860974;0.001;0.001;200;90;0.25;;
12-1-2022 17:00;0.000872167;0.001;0.001;200;90;0.25;;
12-1-2022 18:00;0.000832606;0.001;0.001;200;90;0.25;;
12-1-2022 19:00;0.000737961;0.001;0.001;200;90;0.25;;
12-1-2022 20:00;0.000657634;0.001;0.001;200;90;0.25;;
12-1-2022 21:00;0.000591919;0.001;0.001;200;90;0.25;;
12-1-2022 22:00;0.000502341;0.001;0.001;200;90;0.25;;
12-1-2022 23:00;0.000414722;0.001;0.001;200;90;0.25;;
13-1-2022 00:00;0.000348103;0.001;0.001;200;90;0.25;;
13-1-2022 01:00;0.000315773;0.001;0.001;200;90;0.25;;
13-1-2022 02:00;0.000310869;0.001;0.001;200;90;0.25;;
13-1-2022 03:00;0.000307849;0.001;0.001;200;90;0.25;;
13-1-2022 04:00;0.000313355;0.001;0.001;200;90;0.25;;
13-1-2022 05:00;0.000317431;0.001;0.001;200;90;0.25;;
13-1-2022 06:00;0.000392728;0.001;0.001;200;90;0.25;;
13-1-2022 07:00;0.000472786;0.001;0.001;200;90;0.25;;
13-1-2022 08:00;0.000527587;0.001;0.001;200;90;0.25;;
13-1-2022 09:00;0.000565007;0.001;0.001;200;90;0.25;;
13-1-2022 10:00;0.000576695;0.001;0.001;200;90;0.25;;
13-1-2022 11:00;0.000567563;0.001;0.001;200;90;0.25;;
13-1-2022 12:00;0.000535265;0.001;0.001;200;90;0.25;;
13-1-2022 13:00;0.000505878;0.001;0.001;200;90;0.25;;
13-1-2022 14:00;0.000500843;0.001;0.001;200;90;0.25;;
13-1-2022 15:00;0.000527045;0.001;0.001;200;90;0.25;;
13-1-2022 16:00;0.000568643;0.001;0.001;200;90;0.25;;
13-1-2022 17:00;0.000568078;0.001;0.001;200;90;0.25;;
13-1-2022 18:00;0.000562823;0.001;0.001;200;90;0.25;;
13-1-2022 19:00;0.000493774;0.001;0.001;200;90;0.25;;
13-1-2022 20:00;0.000448729;0.001;0.001;200;90;0.25;;
13-1-2022 21:00;0.000420471;0.001;0.001;200;90;0.25;;
13-1-2022 22:00;0.000355557;0.001;0.001;200;90;0.25;;
13-1-2022 23:00;0.000334156;0.001;0.001;200;90;0.25;;
14-1-2022 00:00;0.000277377;0.001;0.001;200;90;0.25;;
14-1-2022 01:00;0.000242561;0.001;0.001;200;90;0.25;;
14-1-2022 02:00;0.000226488;0.001;0.001;200;90;0.25;;
14-1-2022 03:00;0.000222186;0.001;0.001;200;90;0.25;;
14-1-2022 04:00;0.000219894;0.001;0.001;200;90;0.25;;
14-1-2022 05:00;0.000232858;0.001;0.001;200;90;0.25;;
14-1-2022 06:00;0.000278284;0.001;0.001;200;90;0.25;;
14-1-2022 07:00;0.000361717;0.001;0.001;200;90;0.25;;
14-1-2022 08:00;0.000417444;0.001;0.001;200;90;0.25;;
14-1-2022 09:00;0.000461967;0.001;0.001;200;90;0.25;;
14-1-2022 10:00;0.000500029;0.001;0.001;200;90;0.25;;
14-1-2022 11:00;0.000488706;0.001;0.001;200;90;0.25;;
14-1-2022 12:00;0.000463709;0.001;0.001;200;90;0.25;;
14-1-2022 13:00;0.000436407;0.001;0.001;200;90;0.25;;
14-1-2022 14:00;0.000432834;0.001;0.001;200;90;0.25;;
14-1-2022 15:00;0.000452278;0.001;0.001;200;90;0.25;;
14-1-2022 16:00;0.000516774;0.001;0.001;200;90;0.25;;
14-1-2022 17:00;0.000517749;0.001;0.001;200;90;0.25;;
14-1-2022 18:00;0.000511611;0.001;0.001;200;90;0.25;;
14-1-2022 19:00;0.000488903;0.001;0.001;200;90;0.25;;
14-1-2022 20:00;0.000454563;0.001;0.001;200;90;0.25;;
14-1-2022 21:00;0.000439444;0.001;0.001;200;90;0.25;;
14-1-2022 22:00;0.000378291;0.001;0.001;200;90;0.25;;
14-1-2022 23:00;0.000335428;0.001;0.001;200;90;0.25;;
15-1-2022 00:00;0.000329388;0.001;0.001;200;90;0.25;;
15-1-2022 01:00;0.000323105;0.001;0.001;200;90;0.25;;
15-1-2022 02:00;0.000319242;0.001;0.001;200;90;0.25;;
